"V1","V2"
"iturus",-1.29141966252832
"rebellium",-1.28224893750152
"xl",-1.28224893750152
"romandiola",-1.28224893750152
"potestas",-1.19557630640081
"pistioriensis",-1.19068135387916
"casserus",-1.19068135387916
"repa",-1.19068135387916
"residium",-1.19068135387916
"directio",-1.19068135387916
"necessitia",-1.19068135387916
"eus",-1.19068135387916
"casserrus",-1.19068135387916
"officia",-1.19068135387916
"sedicim",-1.19068135387916
"conditor",-1.19068135387916
"grano",-1.19068135387916
"xus",-1.19068135387916
"taxus",-1.19068135387916
"portas",-1.19068135387916
"offitca",-1.19068135387916
"ghibertus",-1.19068135387916
"fiunt",-1.19068135387916
"communa",-1.19068135387916
"ha",-1.19068135387916
"salinus",-1.19068135387916
"star",-1.19068135387916
"integer",-1.19068135387916
"canonicus",-1.19068135387916
"theolnonlatin",-1.19068135387916
"alexandrum",-1.19068135387916
"conductum",-1.19068135387916
"equitator",-1.19068135387916
"nicholus",-1.19068135387916
"collquium",-1.19068135387916
"offensis",-1.19068135387916
"restauro",-1.19068135387916
"saccus",-1.19068135387916
"francus",-1.19068135387916
"porte",-1.19068135387916
"caldatice",-1.19068135387916
"saccum",-1.19068135387916
"scrutinus",-1.19068135387916
"orindamentum",-1.19068135387916
"nomis",-1.19068135387916
"settarius",-1.19068135387916
"spicciolator",-1.19068135387916
"equalitas",-1.19068135387916
"rinerius",-1.19068135387916
"hre",-1.19068135387916
"pallus",-1.19068135387916
"dannus",-1.19068135387916
"stipendiendium",-1.19068135387916
"deliberatum",-1.19068135387916
"hungaries",-1.19068135387916
"socias",-1.19068135387916
"simonus",-1.19068135387916
"cormolis",-1.19068135387916
"pozis",-1.19068135387916
"angulus",-1.19068135387916
"laurentius",-1.19068135387916
"palea",-1.19068135387916
"herbe",-1.19068135387916
"occisio",-1.19068135387916
"homedium",-1.19068135387916
"cormuolus",-1.19068135387916
"chellus",-1.19068135387916
"poza",-1.19068135387916
"ispus",-1.19068135387916
"satisdatio",-1.19068135387916
"commode",-1.19068135387916
"vall",-1.19068135387916
"exbannitus",-1.19068135387916
"lupus",-1.19068135387916
"manutor",-1.19068135387916
"predeus",-1.19068135387916
"montislupus",-1.19068135387916
"obliquus",-1.19068135387916
"assisio",-1.19068135387916
"cambium",-1.19068135387916
"sollicitenturssedecim",-1.19068135387916
"cambio",-1.19068135387916
"ricchus",-1.19068135387916
"libreria",-1.19068135387916
"statius",-1.19068135387916
"persimonia",-1.19068135387916
"verium",-1.19068135387916
"benuccium",-1.19068135387916
"barda",-1.19068135387916
"cesareus",-1.19068135387916
"padue",-1.19068135387916
"pretextus",-1.19068135387916
"lancis",-1.19068135387916
"cittadellis",-1.19068135387916
"ganeozo",-1.19068135387916
"concursus",-1.19068135387916
"oficium",-1.19068135387916
"mercurium",-1.19068135387916
"facilieo",-1.19068135387916
"iohannus",-1.19068135387916
"augud",-1.19068135387916
"senties",-1.19068135387916
"bastaris",-1.19068135387916
"republex",-1.19068135387916
"vuotus",-1.19068135387916
"magnes",-1.19068135387916
"notaius",-1.19068135387916
"servicunum",-1.19068135387916
"provisionas",-1.19068135387916
"colloquus",-1.19068135387916
"brachus",-1.19068135387916
"paco",-1.19068135387916
"fus",-1.19068135387916
"castellaus",-1.19068135387916
"expectus",-1.19068135387916
"viiius",-1.19068135387916
"madatus",-1.19068135387916
"ianuus",-1.19068135387916
"duccium",-1.19068135387916
"esculum",-1.19068135387916
"fmentum",-1.19068135387916
"esculina",-1.19068135387916
"esculis",-1.19068135387916
"ianuaris",-1.19068135387916
"benem",-1.19068135387916
"taxator",-1.19068135387916
"lunitatio",-1.19068135387916
"tutum",-1.19068135387916
"pistoriensus",-1.19068135387916
"tuto",-1.19068135387916
"siregerius",-1.19068135387916
"montisfeltrarris",-1.19068135387916
"auditor",-1.19068135387916
"ptoopername",-1.19068135387916
"temperamentum",-1.19068135387916
"quamtus",-1.19068135387916
"principalior",-1.19068135387916
"potentior",-1.19068135387916
"vostra",-1.19068135387916
